 # H2O IR 
 # For interval boundaries, see corresponding files  
 #Temperature(K)  100,  150,  200,  250,  300,  350,  400,  600, 
 #P(bar) 1.00e-05, 1.00e-04, 1.00e-03, 1.00e-02, 1.00e-01, 1.00e+00, 1.00e+01, 1.00e+02, 

  Quadrature weights w(quad)        Quadrature abscissas (g)
   1.65231051440290516e-01           6.59602519928250280e-02
   3.09768948559709378e-01           3.13509004297193250e-01
   3.09768948559709378e-01           6.36490995702806650e-01
   1.65231051440290516e-01           8.84039748007174886e-01
   8.69637112843634277e-03           9.53471592210148655e-01
   1.63036288715636482e-02           9.66500473910378632e-01
   1.63036288715636482e-02           9.83499526089621323e-01
   8.69637112843634277e-03           9.96528407789851300e-01
!--------------------------------------------------------------------------------------------------------------------------

          1
  1.00000   4.51437e-20 1.07886e-19 2.72914e-19 6.84875e-19 1.08980e-18 1.22887e-18 1.63779e-18 2.04573e-18 
 10.00000   1.31365e-19 1.83437e-19 2.07735e-19 2.55393e-19 2.75091e-19 2.77651e-19 2.82726e-19 2.85185e-19 
100.00000   3.77014e-21 4.03945e-21 4.46729e-21 4.85431e-21 4.94931e-21 4.95805e-21 4.96439e-21 4.96722e-21 

          3
          200.0
  0.00001   5.40391e-25 1.72159e-24 1.25902e-23 2.60750e-22 3.60451e-21 9.95761e-21 9.39938e-20 1.40302e-17 
  0.00010   5.27053e-24 1.58554e-23 9.85817e-23 1.36296e-21 1.28809e-20 2.80678e-20 1.54942e-19 1.44679e-17 
  0.00100   5.27442e-23 1.50878e-22 8.33735e-22 9.54453e-21 6.94410e-20 1.37233e-19 5.47789e-19 1.66082e-17 
  0.01000   5.17926e-22 1.44929e-21 7.57612e-21 7.67173e-20 4.49842e-19 8.44369e-19 2.67069e-18 2.16521e-17 
  0.10000   5.01186e-21 1.37337e-20 6.00617e-20 4.65704e-19 1.59039e-18 2.24032e-18 4.11407e-18 8.90361e-18 
  1.00000   4.47562e-20 1.03429e-19 2.78765e-19 6.72748e-19 1.00307e-18 1.10200e-18 1.46987e-18 1.99025e-18 
