 # Model name = Modern Earth(no ozone), Ramses CLIMA
 # Diameter: 12742                # Diameter of the planet [km]
 # Gravity: 9.81                  # Gravity at the surface of the atmosphere [m/s2]
 # Star-distance: 1               # Planet-star distance [au]
 # Star-type: Sun                 # Host-star type
 # Star-temperature: 5780         # Host-star temperature [K]
 # Wavelength-min: 0.2376            # Minimum wavelength [um]
 # Wavelength-max: inf           # Maximum wavelength [um]
 # Radiance-unit: Wsrm2um         # Radiation output unit
 # Surface-temperature: 285.3     # Surface temperature [K]
 # Surface-albedo: 0.32           # Surface albedo
 # Surface-emissivity: 1.0        # Surface emissivity
 # Opacity:corr.-k, BPS H2O cont. # corrk + continuum, other ?
 # Line opacities = H2O, CO2
 # CIA opacities = CO2-CO2, N2-N2, N2-CO2
 # Rayleigh opacities = N2, CO2, H2O
 # Outgoing longwave radiation (W/m^2) = 238.7
 # Absorbed stellar radiation (W/m^2) = 238.5
 # Atmosphere-description: Modern Earth
 # Atmosphere-columns: P T MMW Alt N2 CO2 H2O OTR ASR
 # Atmosphere-layers: 201
 #   P(Pa)     T(K)    MMW(g/mol)  Alt(km)     N2          CO2          H2O          OTR           ASR
 1.30710E+03  162.780  28.00640    25.750  9.99600E-01  4.00000E-04  3.56340E-08  2.37970E+02  2.37680E+02
 1.23140E+03  163.380  28.00640    26.045  9.99600E-01  4.00000E-04  3.56340E-08  2.37990E+02  2.37700E+02
 1.15960E+03  164.080  28.00640    26.344  9.99600E-01  4.00000E-04  3.56340E-08  2.38010E+02  2.37730E+02
 1.09160E+03  164.870  28.00640    26.645  9.99600E-01  4.00000E-04  3.56340E-08  2.38040E+02  2.37750E+02
 1.02720E+03  165.710  28.00640    26.950  9.99600E-01  4.00000E-04  3.56340E-08  2.38060E+02  2.37780E+02
 9.66360E+02  166.600  28.00640    27.258  9.99600E-01  4.00000E-04  3.56340E-08  2.38090E+02  2.37800E+02
 9.08760E+02  167.500  28.00640    27.569  9.99600E-01  4.00000E-04  3.56340E-08  2.38120E+02  2.37830E+02
 8.54300E+02  168.400  28.00640    27.884  9.99600E-01  4.00000E-04  3.56340E-08  2.38150E+02  2.37860E+02
 8.02830E+02  169.260  28.00640    28.202  9.99600E-01  4.00000E-04  3.56340E-08  2.38180E+02  2.37890E+02
 7.54190E+02  170.080  28.00640    28.524  9.99600E-01  4.00000E-04  3.56340E-08  2.38200E+02  2.37920E+02
 7.08260E+02  170.830  28.00640    28.849  9.99600E-01  4.00000E-04  3.56340E-08  2.38230E+02  2.37950E+02
 6.64890E+02  171.510  28.00640    29.177  9.99600E-01  4.00000E-04  3.56340E-08  2.38260E+02  2.37970E+02
 6.23960E+02  172.120  28.00640    29.509  9.99600E-01  4.00000E-04  3.56340E-08  2.38280E+02  2.38000E+02
 5.85350E+02  172.640  28.00640    29.843  9.99600E-01  4.00000E-04  3.56340E-08  2.38310E+02  2.38030E+02
 5.48940E+02  173.080  28.00640    30.180  9.99600E-01  4.00000E-04  3.56340E-08  2.38330E+02  2.38050E+02
 5.14610E+02  173.440  28.00640    30.520  9.99600E-01  4.00000E-04  3.56340E-08  2.38360E+02  2.38070E+02
